fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23,rad24,rad25
ANX100220J055,ANX,CJF_1,CJF,1,A,ANX100220J055,2,0.9149576902990068,0.5669434889363384,0.7459809770012282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J056,ANX,CJF_1,CJF,1,A,ANX100220J056,4,0.9914903352576961,0.4045047827724184,0.594752333359703,0.7445274172301934,0.8661647017760876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J057,ANX,CJF_1,CJF,1,A,ANX100220J057,0,0.52397335118605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J058,ANX,CJF_1,CJF,1,A,ANX100220J058,0,0.5450179211291659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HST052413WAL001,HST,CJF_1,CJF,1,H,HST052413WAL001,3,0.881357723172934,0.5343768635351047,0.7291731356124833,0.8667957067557321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HST052413WAL002,HST,CJF_1,CJF,1,H,HST052413WAL002,14,1.7313221558688872,0.48703888736980755,0.6418902795713974,0.7493722129432454,0.8369059225632995,0.9571308716475115,1.1080461797560879,1.2498210761720143,1.334752621992251,1.3661099411632125,1.4314267433049548,1.5075513575058404,1.5728681596475818,1.6274428265167533,1.7065030845907563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HST052413WAL003,HST,CJF_1,CJF,1,H,HST052413WAL003,5,0.9940210081252188,0.4243169491992298,0.5980734301651414,0.7161988752405171,0.8696403264913447,0.9825349799539977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HST052413WAL004,HST,CJF_1,CJF,1,H,HST052413WAL004,7,1.3432549209425115,0.5366281956690361,0.7445110591666687,0.8965566371959864,1.0392890411860212,1.175701305770183,1.256359802420792,1.3308651947350552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HST052413WAL005,HST,CJF_1,CJF,1,H,HST052413WAL005,8,1.246299671968258,0.42865974762170755,0.6515138833989564,0.8187564289528074,0.9236883566457209,1.0019309938331926,1.0945166592592084,1.1727592964466793,1.2281346434292113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HST052413WAL006,HST,CJF_1,CJF,1,H,HST052413WAL006,3,0.9046177398203594,0.5504808328481852,0.7425467451483345,0.8913904706961373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
