fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23,rad24,date,date2
NAR041321023,NAR,CJF_1,CJF,1,R,R-NAR041321023,9,1.3462267440223554,0.48148122415318184,0.6083926423929941,0.7454936831964394,0.8577416014103719,0.9610417646998095,1.0656301013466631,1.134496876872955,1.242903427873779,1.3462267440223554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321024,NAR,CJF_1,CJF,1,R,R-NAR041321024,8,1.4756852579725093,0.5305992120687514,0.7052528828248678,0.876863190936426,1.034711996041681,1.144704463433416,1.2546969308251508,1.3585694873748742,1.4756852579725093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321025,NAR,CJF_1,CJF,1,R,R-NAR041321025,10,1.5052155438456634,0.46860299320409493,0.7003531846791708,0.842039019290631,0.9609930114016549,1.0912074065135937,1.1778763122558156,1.2590205347468832,1.342716062364922,1.452538883604791,1.5052155438456634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321026,NAR,CJF_1,CJF,1,R,R-NAR041321026,10,1.2860128156708361,0.47966526981688706,0.6572063258904198,0.7716179326590519,0.8322593786953537,0.9414242248172466,1.0023364249630873,1.0767716578900823,1.13108332684149,1.2060600679875635,1.2860128156708361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321027,NAR,CJF_1,CJF,1,R,R-NAR041321027,16,1.683529619269706,0.5175777145657052,0.6931029833556156,0.7935152794367617,0.8810162480289205,0.9653889783445029,1.024200719484906,1.0981420717595736,1.1482173868987484,1.2033775581569839,1.2531912074933644,1.3288275118077182,1.3966373447521447,1.4900081668717493,1.552733143697117,1.6371058740126987,1.683529619269706,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321028,NAR,CJF_1,CJF,1,R,R-NAR041321028,15,1.6155031132078492,0.457650529248894,0.6615377792092035,0.7731474730645725,0.878097827212666,0.9629008807659934,1.0491649785350556,1.1355983577770568,1.195055815244078,1.2806740316417429,1.3438687403845702,1.4012192722644587,1.450280138748398,1.5076306706282872,1.5537694486807572,1.6155031132078492,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321029,NAR,CJF_1,CJF,1,R,R-NAR041321029,11,1.4310559675286227,0.4920318142581761,0.7214346268550641,0.8580217832919486,0.9657097117595839,1.0471347400610906,1.143009382347222,1.219584413365495,1.274746541500873,1.3325449974393715,1.3960387673071186,1.4310559675286227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321030,NAR,CJF_1,CJF,1,R,R-NAR041321030,15,1.8379887842358176,0.5770497133856163,0.7655677080043604,0.8998068604342716,1.0138129431302183,1.1246088423196339,1.217635783677699,1.2849418777936343,1.3429904571919353,1.3925275934765193,1.459460651790496,1.5436031142328852,1.616583503757964,1.6920280051856584,1.7504496203859174,1.8379887842358176,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321031,NAR,CJF_1,CJF,1,R,R-NAR041321031,11,1.4134037827681039,0.3761921030169745,0.5723383438888097,0.7139669460677688,0.8398877368598476,0.9258855732507432,1.0141742387562727,1.118955850328314,1.210320479628108,1.2882681266556557,1.34468402712335,1.4134037827681039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321032,NAR,CJF_1,CJF,1,R,R-NAR041321032,11,1.406248029762952,0.5674173425875092,0.7074154238417434,0.8168350160808031,0.8934007924864378,0.9788287684296778,1.0496860908488488,1.149405338699088,1.2045342072442244,1.2751121480463237,1.3205406722026405,1.406248029762952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
