fishid,id,light_type,reading,rep,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,waterbody
NAR061119013,R-NAR061119013,R,CJF_1,1,7,1.2069736505773858,0.4502088840366832,0.6310242575371467,0.7574259741665329,0.881175374463637,0.9681004924348173,1.0915192889190062,1.2069736505773858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119013,R-NAR061119013,R,CJF_2,2,7,1.1709508840168596,0.4014458618037077,0.5923180720327821,0.7194249701217581,0.8531626351394757,0.9715201353436099,1.0881407234729759,1.1709508840168596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119013,R-NAR061119013,R,CJF_3,3,7,1.1267350693962885,0.40939279038171505,0.5673216147203346,0.6848606195986092,0.8244151960166729,0.9426914669171255,1.0572146609820836,1.1267350693962885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119014,R-NAR061119014,R,CJF_1,1,9,1.2352913206302405,0.43007522757321703,0.6404380554289824,0.7646433990586461,0.8719622400024618,0.9775811587896068,1.0688008365254338,1.1321972364379107,1.186281637448987,1.2352913206302405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119014,R-NAR061119014,R,CJF_2,2,9,1.1915192684082814,0.38154594539959613,0.5949856473094957,0.7314894058095975,0.8347670573891927,0.9275231553291927,1.006044896599092,1.0740072601585855,1.1351230490381792,1.1915192684082814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119014,R-NAR061119014,R,CJF_3,3,9,1.2134248481773253,0.39964152006556125,0.6162577887776644,0.7267690846937671,0.8578415530991285,0.9454056482420767,1.0248935702538617,1.093366936018805,1.1618403017837489,1.2134248481773253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119015,R-NAR061119015,R,CJF_1,1,7,1.2603080462653582,0.45009447665206487,0.6384582249057382,0.7847570687994058,0.9210038472862488,1.0422813067617964,1.1591347176034599,1.2603080462653582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119015,R-NAR061119015,R,CJF_2,2,7,1.307197737990218,0.47585930220773465,0.6521267747250381,0.8342069560706,0.9847829433097182,1.0920532177504068,1.2136413291002597,1.307197737990218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119015,R-NAR061119015,R,CJF_3,3,7,1.2582606766663715,0.43648210596201925,0.6395302952652282,0.7998695073226623,0.9259103174137494,1.0481045415885768,1.1596698914487698,1.2582606766663715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119016,R-NAR061119016,R,CJF_1,1,3,0.785343489746982,0.4690910347331945,0.6602368223999063,0.785343489746982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119016,R-NAR061119016,R,CJF_2,2,3,0.7744988544534263,0.4319969350306724,0.6294601394848887,0.7744988544534263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119016,R-NAR061119016,R,CJF_3,3,3,0.7838928340544133,0.47566279337631356,0.6664563743711543,0.7838928340544133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119017,R-NAR061119017,R,CJF_1,1,3,0.8313859464350716,0.5221985320490858,0.6968592495406969,0.8313859464350716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119017,R-NAR061119017,R,CJF_2,2,3,0.7612306518562099,0.43355572582595264,0.6129779642522506,0.7612306518562099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119017,R-NAR061119017,R,CJF_3,3,3,0.7638466801555596,0.4362097089087793,0.6299241785307851,0.7638466801555596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119018,R-NAR061119018,R,CJF_1,1,3,0.9525116342561522,0.5760207189001993,0.8228194213042808,0.9525116342561522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119018,R-NAR061119018,R,CJF_2,2,3,1.0071776225391844,0.5935267830886414,0.8486238871201859,1.0071776225391844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119018,R-NAR061119018,R,CJF_3,3,3,0.9643779657286271,0.5837885969182465,0.8370390434050139,0.9643779657286271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119019,R-NAR061119019,R,CJF_1,1,3,0.7268465295753145,0.38799635695109225,0.5541706621284672,0.7268465295753145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119019,R-NAR061119019,R,CJF_2,2,3,0.8079284205456817,0.44221170715843405,0.6263444281113998,0.8079284205456817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119019,R-NAR061119019,R,CJF_3,3,3,0.7221557103286883,0.39204937974270565,0.5721824425830824,0.7221557103286883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119020,R-NAR061119020,R,CJF_1,1,3,0.7604449940281048,0.4529736683730016,0.6465615144747656,0.7604449940281048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119020,R-NAR061119020,R,CJF_2,2,3,0.7478232455109732,0.44343378500398023,0.6375831411989002,0.7478232455109732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119020,R-NAR061119020,R,CJF_3,3,3,0.742117901203443,0.4492721400575536,0.6183777758819533,0.742117901203443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119021,R-NAR061119021,R,CJF_1,1,3,0.7181074495092158,0.38772478943453076,0.5823237337052074,0.7181074495092158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119021,R-NAR061119021,R,CJF_2,2,3,0.671490585890666,0.32841500824178327,0.5250421123766701,0.671490585890666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119021,R-NAR061119021,R,CJF_3,3,3,0.6507540198015666,0.3007526361265473,0.4849325189361158,0.6507540198015666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119022,R-NAR061119022,R,CJF_1,1,3,0.7395495994628436,0.4343353735714809,0.6279382471724837,0.7395495994628436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119022,R-NAR061119022,R,CJF_2,2,3,0.748917810256995,0.41840601904114255,0.6301961459116522,0.748917810256995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119022,R-NAR061119022,R,CJF_3,3,3,0.75682496510411,0.43109049191835724,0.6330381345759952,0.75682496510411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
