fishid,tisuetype,boat,tissue+bag,pin+paper,final tissue + boat,final bag,final pin,final paper,wet paper,wet tissue,dry tissue
NAR033019005,gonad,1.31,18.63,0.23,4.7,3.31,0.11,0.09,0.14,15.18,3.39
NAR033019006,gonad,1.33,5.36,0.19,1.65,3.3,0.11,0.08,0.11,1.95,0.32
NAR033019007,gonad,1.3,20.79,0.18,4.32,3.29,0.1,0.05,0.13,17.37,3.02
NAR033019008,gonad,1.32,24.47,0.2,5.49,3.3,0.11,0.07,0.13,21.04,4.17
NAR033019009,gonad,1.3,14.3,0.39,3.08,3.35,0.12,0.09,0.3,10.65,1.78
NAR033019010,gonad,1.31,5.08,0.18,1.46,3.3,0.1,0.05,0.13,1.65,0.15
NAR033019011,gonad,1.32,3.31,0.15,1.32,3.24,0.1,0.05,0.1,-0.03,0
NAR033019012,gonad,1.31,17.12,0.47,3.54,3.4,0.11,0.06,0.41,13.31,2.23
NAR033019013,gonad,8.2,45.24,0.22,22.77,3.13,0.11,0.05,0.17,41.94,14.57
NAR033019014,gonad,1.31,13.96,0.17,3.15,3.28,0.1,0.04,0.13,10.55,1.84
NAR033019015,gonad,1.32,5.26,0.16,1.61,3.25,0.12,0.03,0.13,1.88,0.29
NAR033019016,gonad,1.32,4.65,0.16,1.51,3.26,0.13,0.05,0.11,1.28,0.19
NAR033019017,gonad,1.32,18.23,0.22,4.09,3.35,0.11,0.05,0.17,14.71,2.77
NAR033019018,gonad,1.32,14.89,0.19,3.81,3.38,0.11,0.07,0.12,11.39,2.49
NAR033019019,gonad,1.32,11.41,0.16,3.03,3.32,0.11,0.05,0.11,7.98,1.71
NAR033019020,gonad,1.29,17.53,0.17,4.05,3.33,0.1,0.04,0.13,14.07,2.76
NAR033019021,gonad,1.32,10.45,0.46,2.17,3.36,0.11,0.15,0.31,6.78,0.85
