fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23
ANX091818A013,ANX,LEL_1,LEL,1,R,R-ANX091818A013,2,0.6705088917021806,0.3915262563765639,0.5659422063537987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A013,ANX,LSR_1,LSR,1,R,R-ANX091818A013,2,0.527300765495989,0.3569418640636278,0.4663259708575781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A013,ANX,MJS_1,MJS,1,R,R-ANX091818A013,3,0.7337382081222578,0.402736446012583,0.6444114685481079,0.7337382081222578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A013,ANX,NGA_1,NGA,1,R,R-ANX091818A013,2,0.8739287818762168,0.5731335827431631,0.7753016977991876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A014,ANX,CJF_1,CJF,1,R,R-ANX091818A014,2,0.7399156157471769,0.45353592355570965,0.6281883826875267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A014,ANX,LEL_1,LEL,1,R,R-ANX091818A014,2,0.797133191571175,0.49587425254355116,0.6854736882431796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A014,ANX,LSR_1,LSR,1,R,R-ANX091818A014,2,0.618445300006675,0.34537001130713024,0.5003468855529719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A014,ANX,MJS_1,MJS,1,R,R-ANX091818A014,3,0.6051058353798415,0.31703312940656264,0.45479790317326196,0.6051058353798415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A014,ANX,NGA_1,NGA,1,R,R-ANX091818A014,2,0.8398820870683957,0.5398483036797393,0.7253044146454686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A015,ANX,CJF_1,CJF,1,R,R-ANX091818A015,1,0.7012859459762151,0.4985768880038475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A015,ANX,LEL_1,LEL,1,R,R-ANX091818A015,1,0.7461416543560035,0.5760400845768301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A015,ANX,LSR_1,LSR,1,R,R-ANX091818A015,1,0.48889956465919077,0.3828835376116454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A015,ANX,MJS_1,MJS,1,R,R-ANX091818A015,2,0.5067507327333881,0.39692839748341874,0.5067507327333881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A015,ANX,NGA_1,NGA,1,R,R-ANX091818A015,1,0.754400315274647,0.5456789560332326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A016,ANX,CJF_1,CJF,1,R,R-ANX091818A016,1,0.6731960603747779,0.5074250714418531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A016,ANX,LEL_1,LEL,1,R,R-ANX091818A016,1,0.6010806117704057,0.49368482966078164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A016,ANX,LSR_1,LSR,1,R,R-ANX091818A016,2,0.4309655836319763,0.325570166371233,0.4072252242247461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A016,ANX,MJS_1,MJS,1,R,R-ANX091818A016,2,0.5638723808495116,0.23541000230027764,0.5638723808495116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A016,ANX,NGA_1,NGA,1,R,R-ANX091818A016,1,0.5534597076401933,0.41867335326214744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
