fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23,rad24
ANX091818A092,ANX,CJF_1,CJF,1,R,R-ANX091818A092,2,0.8195736012068056,0.46798622378907323,0.6785947974488721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A093,ANX,CJF_1,CJF,1,R,R-ANX091818A093,1,0.6610252435839541,0.4314119214278879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A094,ANX,CJF_1,CJF,1,R,R-ANX091818A094,1,0.6631356673196926,0.4806008165025239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A095,ANX,CJF_1,CJF,1,R,R-ANX091818A095,4,1.1841945695149363,0.49547100679474854,0.7510181954412223,0.9307848856096099,1.0674608457830737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A096,ANX,CJF_1,CJF,1,R,R-ANX091818A096,2,0.743753347835938,0.4202090838884797,0.604931075808287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A097,ANX,CJF_1,CJF,1,R,R-ANX091818A097,1,0.5971282937331148,0.4132199672486123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A098,ANX,CJF_1,CJF,1,R,R-ANX091818A098,1,0.6627408479034026,0.4699338300568023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A099,ANX,CJF_1,CJF,1,R,R-ANX091818A099,2,0.7307954629593392,0.4370571417426785,0.6310191294753504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A100,ANX,CJF_1,CJF,1,R,R-ANX091818A100,1,0.625629515356606,0.4446481159503206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A101,ANX,CJF_1,CJF,1,R,R-ANX091818A101,1,0.6810036446537654,0.4910976128087809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A103,ANX,CJF_1,CJF,1,R,R-ANX091818A103,1,0.7349470255668858,0.5496453257594203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
