fishid,tissueid,date,rep,type,personel,weight_sample,fuse_length_unburned,fuse_length_burned,temp_rise,gross_heat_uncorrected,gross_heat_corrected,gear,gearid,waterbody,date_capture,fishspp,tl,ww,wwt,sex,gonww,maturity,goncond,condnet,abnormal,condbloodcoll,meshcolor,meshsize,notes,ploidy,tissueww,tissuedw,percent_DM,ED_ww,id_run
NAR032819002,NAR032819002G,20200806,2,gonad,NGA,0.14806,31,69,1.14165,20.9768,20.9508,gn,GNNAR03281902,NAR,20190328,WAL,468,1112,NA,M,27.3,1,4,A,N,A,NA,3,NA,2N,13.35,2.66,19.925093632958806,4174.466516853934,NAR032819002G-2
NAR032219006,NAR032219006G,20200806,2,gonad,NGA,0.10567,35,65,1.0073,20.7288,20.7288,gn,GNNAR03221904,NAR,20190322,WAL,420,576,NA,M,8.3,1,4,A,N,A,NA,3,NA,2N,3.89,0.67,17.223650385604113,3570.2560411311056,NAR032219006G-2
NAR031919001,NAR031919001G,20200806,2,gonad,NGA,0.06163,37,63,0.6532,22.6929,22.7241,gn,GNNAR03191902,NAR,20190319,WAL,479,912,NA,M,2.9,1,2,A,N,A,NA,4,NA,3N,1.43,0.2,13.986013986013987,3178.195804195804,NAR031919001G-2
NAR032819005,NAR032819005G,20200921,2,gonad,NGA,0.19421,24,76,1.8182,20.6182,20.5637,gn,GNNAR03281904,NAR,20190328,WAL,313,199,NA,M,0.01,0,1,A,N,A,NA,2.5,NA,3N,10.9,1.98,18.165137614678898,3735.4244036697246,NAR032819005G-2
NAR032019008,NAR032019008G,20200921,3,gonad,NGA,0.14629,36,64,1.4015,21.0016,21.0081,gn,GNNAR03201902,NAR,20190320,WAL,491,1142,NA,M,38,1,4,A,N,A,NA,4,NA,2N,21.17,4.05,19.13084553613604,4019.0271610769955,NAR032019008G-3
NAR032519011,NAR032519011G,20200921,3,gonad,NGA,0.17181,21,79,1.6355,20.9276,20.8491,gn,GNNAR03251904,NAR,20190325,WAL,504,1144,NA,M,35.2,1,4,A,N,A,NA,4,NA,2N,17.31,3.31,19.121894858463317,3986.7429809358755,NAR032519011G-3
NAR032519002,NAR032519002G,20200921,3,gonad,NGA,0.16819,28,72,1.6003,20.91,20.8699,gn,GNNAR03251903,NAR,20190325,WAL,476,910,NA,M,26.4,1,4,A,N,A,NA,4,NA,2N,11.66,2.14,18.353344768439108,3830.324699828474,NAR032519002G-3
NAR032619012,NAR032619012G,20200922,3,gonad,NGA,0.15406,25,75,1.4815,21.1038,21.0413,gn,GNNAR03261903,NAR,20190326,WAL,458,799,NA,M,27,1,4,A,N,A,NA,4,NA,2N,13.16,2.24,17.021276595744684,3581.4978723404256,NAR032619012G-3
NAR032219004,NAR032219004G,20200922,3,gonad,NGA,0.11787,53,47,1.1561,21.4071,21.5542,gn,GNNAR03221902,NAR,20190322,WAL,492,1098,NA,M,39.7,1,4,A,N,A,NA,4,NA,2N,19.73,4.1,20.780537252914343,4479.078560567664,NAR032219004G-3
NAR032919015,NAR032919015G,20200923,3,gonad,NGA,0.11102,35,65,1.0797,21.1884,21.1884,gn,GNNAR03291903,NAR,20190329,WAL,489,1182,NA,M,23.4,1,4,A,N,A,NA,3,NA,2N,12.11,2.4,19.81833195706028,4199.187448389761,NAR032919015G-3
NAR032519006,NAR032519006G,20200923,3,gonad,NGA,0.1199,36,64,1.261,23.0028,23.0108,gn,GNNAR03251902,NAR,20190325,WAL,475,954,NA,M,31.9,1,4,A,N,A,NA,4,NA,2N,27.24,4.98,18.28193832599119,4206.820264317181,NAR032519006G-3
NAR032519007,NAR032519007G,20200923,3,gonad,NGA,0.12247,50,50,1.2582,22.4684,22.5863,gn,GNNAR03251901,NAR,20190325,WAL,450,858,NA,M,21.7,1,4,A,N,A,NA,4,NA,2N,10.74,2.22,20.670391061452513,4668.676536312849,NAR032519007G-3
NAR032919017,NAR032919017G,20200923,3,gonad,NGA,0.16708,37,63,1.8194,23.9825,23.9941,gn,GNNAR03291903,NAR,20190329,WAL,543,1620,NA,M,24.6,1,4,A,N,D,NA,3,NA,2N,11.32,2.49,21.996466431095406,5277.854151943463,NAR032919017G-3
NAR032119003,NAR032119003G,20200923,3,gonad,NGA,0.14524,44,56,1.451,21.9148,21.9745,gn,GNNAR03211901,NAR,20190321,WAL,476,1044,NA,M,34.2,1,4,A,N,A,NA,4,NA,2N,17.89,3.93,21.967579653437674,4827.265790944662,NAR032119003G-3
NAR032619011,NAR032619011G,20200924,3,gonad,NGA,0.14886,32,68,1.4102,20.7696,20.7502,gn,GNNAR03261903,NAR,20190326,WAL,477,896,NA,M,29.9,1,4,A,N,A,NA,4,NA,2N,14.24,2.75,19.31179775280899,4007.2366573033705,NAR032619011G-3
NAR032519012,NAR032519012G,20200924,3,gonad,NGA,0.16448,33,67,1.554,20.7527,20.741,gn,GNNAR03251904,NAR,20190325,WAL,475,1027,NA,M,41.3,1,4,A,N,A,NA,4,NA,2N,22.11,4.49,20.30755314337404,4211.98959746721,NAR032519012G-3
NAR032619010,NAR032619010G,20200924,3,gonad,NGA,0.12807,34,66,1.2394,21.1569,21.1494,gn,GNNAR03261903,NAR,20190326,WAL,468,891,NA,M,25.4,1,4,A,N,A,NA,4,NA,2N,10.87,1.85,17.019319227230913,3599.4839006439743,NAR032619010G-3
NAR032919022,NAR032919022G,20200924,3,gonad,NGA,0.15131,29,71,1.4637,21.2235,21.1854,gn,GNNAR03291905,NAR,20190329,WAL,503,1184,NA,M,32.4,1,4,A,N,A,NA,3,NA,2N,16.83,2.59,15.38918597742127,3260.2606060606063,NAR032919022G-3
NAR032119014,NAR032119014G,20200924,3,gonad,NGA,0.12894,35,65,1.2478,21.1603,21.1603,gn,GNNAR03211904,NAR,20190321,WAL,479,961,NA,M,28.6,1,4,A,N,A,NA,4,NA,2N,15.32,2.88,18.79895561357702,3977.9154046997382,NAR032119014G-3
NAR032719010,NAR032719010G,20200925,3,gonad,NGA,0.10489,32,68,1.0074,20.886,20.8584,gn,GNNAR03271904,NAR,20190327,WAL,394,450,NA,M,11.9,1,4,A,N,A,NA,3,NA,2N,5.72,0.98,17.132867132867133,3573.641958041958,NAR032719010G-3
NAR032019005,NAR032019005G,20200925,3,gonad,NGA,0.10798,36,64,1.0894,21.986,21.9949,gn,GNNAR03201902,NAR,20190320,WAL,457,957,NA,M,13.6,1,4,A,N,A,NA,4,"weird gonads, trip?",2N,5.88,0.87,14.795918367346939,3254.3474489795917,NAR032019005G-3
NAR032719013,NAR032719013G,20200925,3,gonad,NGA,0.10502,49,51,1.0686,22.1636,22.292,gn,GNNAR03271906,NAR,20190327,WAL,579,1978,NA,M,19.9,1,4,A,N,D,NA,3,NA,2N,8.28,1.65,19.92753623188406,4442.246376811594,NAR032719013G-3
NAR032719006,NAR032719006G,20200925,3,gonad,NGA,0.10227,35,65,1.0016,21.2931,21.2931,gn,GNNAR03271903,NAR,20190327,WAL,470,868,NA,M,22.2,1,4,A,N,A,NA,4,NA,2N,8.49,1.32,15.547703180212014,3310.587985865724,NAR032719006G-3
