fishid,tissueid,date,rep,type,personel,weight_sample,fuse_length_unburned,fuse_length_burned,temp_rise,gross_heat_uncorrected,gross_heat_corrected
NAR032919009,NAR032919009G,20200220,3,gonad,NGA,0.04252,32,68,0.3798,21.3014,21.2232
NAR032919014,NAR032919014G,20200217,1,gonad,BP,0.18018,34,66,2.1575,29.0753,29.0694
NAR032919014,NAR032919014G,20200217,2,gonad,BP,0.17005,30,70,2.2701,29.4918,29.4634
NAR032919014,NAR032919014G,20200123,3,gonad,NGA,0.16517,31,69,1.978,26.4072,26.3839
NAR032919024,NAR032919024G,20200218,1,gonad,BP,0.15446,36,64,1.8999,27.1077,27.114
NAR032919024,NAR032919024G,20200218,2,gonad,BP,0.19128,15,85,2.3019,26.5899,26.4892
NAR032919024,NAR032919024G,20200124,3,gonad,NGA,0.17222,38,62,2.0697,26.5172,26.534
NAR033019002,NAR033019002G,20200218,1,gonad,BP,0.13585,36,64,1.6672,26.9903,26.9974
NAR033019002,NAR033019002G,20200218,2,gonad,BP,0.17467,33,67,2.1002,26.5359,26.5248
NAR033019002,NAR033019002G,20200124,3,gonad,NGA,0.18567,41,59,2.2525,26.7985,26.8297
NAR033019003,NAR033019003G,20200219,1,gonad,BP,0.08984,41,59,0.9401,22.8351,22.8998
NAR033019003,NAR033019003G,20200219,2,gonad,BP,0.09247,36,64,0.9745,22.8959,22.9063
NAR033019003,NAR033019003G,20200207,3,gonad,NGA,0.06584,43,57,0.7144,23.3193,23.4363
NAR033019004,NAR033019004G,20200218,1,gonad,BP,0.12722,32,68,1.5607,26.9477,26.925
NAR033019004,NAR033019004G,20200218,2,gonad,BP,0.1741,40,60,2.1428,27.17,27.1976
NAR033019004,NAR033019004G,20200128,3,gonad,NGA,0.17763,42,58,2.1815,27.1179,27.1559
NAR033019006,NAR033019006G,20200220,1,gonad,BP,0.06641,37,63,0.7152,23.1457,23.1747
NAR033019006,NAR033019006G,20200220,2,gonad,BP,0.08211,32,68,0.893,23.5633,23.5281
NAR033019006,NAR033019006G,20200218,3,gonad,NGA,0.04591,33,67,0.5095,23.4617,23.4197
NAR033019010,NAR033019010G,20200217,1,gonad,BP,0.055,13,87,0.5566,21.498,21.1128
NAR033019010,NAR033019010G,20200220,2,gonad,BP,0.09202,52,48,0.927,21.8523,22.0302
NAR033019013,NAR033019013G,20200130,1,gonad,NGA,0.18272,33,67,2.1561,26.0508,26.0403
NAR033019013,NAR033019013G,20200219,2,gonad,BP,0.16781,39,61,2.0234,26.5907,26.6196
NAR033019013,NAR033019013G,20200219,3,gonad,BP,0.21329,48,52,2.5209,26.1427,26.2014
NAR033019015,NAR033019015G,20200207,1,gonad,NGA,0.07683,51,49,0.7477,20.954,21.1546
NAR033019015,NAR033019015G,20200219,2,gonad,BP,0.08643,33,67,0.8845,22.1665,22.1442
NAR033019015,NAR033019015G,20200219,3,gonad,BP,0.06914,47,53,0.6844,21.2362,21.4033
NAR033019016,NAR033019016G,20200219,1,gonad,NGA,0.0529,36,64,0.6036,24.3407,24.3589
NAR033019016,NAR033019016G,20200220,2,gonad,NGA,0.04682,30,70,0.4919,23.9781,23.8668
NAR033019016,NAR033019016G,20200220,3,gonad,NGA,0.03694,34,66,0.5252,23.7527,23.7321
NAR040618002,NAR040618002G,20200131,1,gonad,NGA,0.18517,30,70,2.0413,24.3201,24.2941
NAR040618002,NAR040618002G,20200219,2,gonad,BP,0.13591,30,70,1.4643,23.638,23.6025
NAR040618002,NAR040618002G,20200219,3,gonad,BP,0.15306,35,65,1.7092,24.5684,24.5684
NAR040618006,NAR040618006G,20200130,1,gonad,NGA,0.18543,33,67,2.1763,25.9135,25.9031
NAR040618006,NAR040618006G,20200219,2,gonad,BP,0.20593,37,63,2.3967,25.7288,25.7381
NAR040618006,NAR040618006G,20200219,3,gonad,BP,0.22833,31,69,2.6814,25.9931,25.9763
NAR040618024,NAR040618024G,20200123,1,gonad,NGA,0.14691,44,56,1.7297,25.9092,25.9682
NAR040618024,NAR040618024G,20200217,2,gonad,BP,0.18419,37,63,2.2128,26.5315,26.542
NAR040618024,NAR040618024G,20200217,3,gonad,BP,0.16382,31,69,1.8256,24.544,24.5204
NAR040618025,NAR040618025G,20200122,1,gonad,NGA,0.15645,15,85,1.8368,25.8601,25.737
NAR040618025,NAR040618025G,20200217,2,gonad,BP,0.24966,28,72,3.0545,27.1154,27.0884
NAR040618025,NAR040618025G,20200217,3,gonad,BP,0.1261,71,29,1.5566,27.1141,27.389
