fishid,id,light_type,reading,rep,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,waterbody
NAR071718009,R-NAR071718009,R,CJF_1,1,4,0.8878391082088162,0.3793708802577018,0.5939202985726395,0.7161880830348519,0.8315113990457237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718009,R-NAR071718009,R,CJF_2,2,3,0.8910515795490848,0.3597894450487419,0.7425843258858291,0.8382496537299693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718009,R-NAR071718009,R,CJF_3,3,4,0.9533513310639153,0.4833783373554159,0.6571383696187464,0.7932877482455515,0.8899488604267323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718010,R-NAR071718010,R,CJF_1,1,12,1.6102521599242936,0.4392170760479353,0.6982088971139644,0.8184550997517628,0.9226721527615387,1.0315140597189225,1.1089014437470488,1.2024896068056146,1.2811121239149446,1.3370700986382344,1.400123193471539,1.4887708242052902,1.5501290586053933,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718010,R-NAR071718010,R,CJF_2,2,12,1.6148967962955485,0.48431481478226934,0.7052468074154123,0.8066144582139089,0.8986517212351531,1.0216146422071544,1.1208503286195668,1.2056577585486965,1.2781688963806257,1.3379824769988962,1.4092270000795537,1.4787722335915345,1.566978242658019,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718010,R-NAR071718010,R,CJF_3,3,12,1.6230817047945518,0.5313481770959894,0.7258772867329817,0.8379578269156045,0.9424881814771994,1.052241583704765,1.1428351360018323,1.2281969654776572,1.2903394663345384,1.3693146791668636,1.4192527184926045,1.516224212277901,1.5818487449120973,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718011,R-NAR071718011,R,CJF_1,1,9,1.4982555057723639,0.455724708078009,0.6647320704533164,0.8302885845210999,0.961725401572721,1.071259076713938,1.1754013338585754,1.2558453059371937,1.340957847926359,1.4357689537796352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718011,R-NAR071718011,R,CJF_2,2,9,1.5130200027293486,0.4635373489827552,0.6914617303537122,0.8511376097434062,0.9884301116270044,1.0751611396416205,1.2138548825301019,1.28939422179167,1.3750268803433088,1.4642575188257847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718011,R-NAR071718011,R,CJF_3,3,9,1.5433946047961231,0.5173635940565685,0.7323045006755652,0.8800547070143441,1.0133112843971548,1.1154600298659516,1.2340496425985392,1.3192817770618601,1.4016151857339874,1.4984422233620824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718012,R-NAR071718012,R,CJF_1,1,7,1.3814973044173546,0.5443833151821879,0.714560204955938,0.8668880834330864,0.9360115068110015,1.143381776944746,1.2430368351234111,1.3216188204949098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718012,R-NAR071718012,R,CJF_2,2,8,1.3596605613099013,0.5448333711220165,0.7298661615300269,0.85616596482701,0.9590894115251173,1.0530316492031,1.1516775684792753,1.2369226999213065,1.321741677187078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718012,R-NAR071718012,R,CJF_3,3,9,1.291344454908086,0.48716576903913544,0.5581948894412673,0.66837806810522,0.8040338771545081,0.9021362358807213,0.9865571667304514,1.080292127783761,1.1586002443073997,1.2519007792173809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
