fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18
T053013WAL011,T05,CJF_1,CJF,1,H,HST053013WAL011,5,1.1299004317322552,0.4705835106754783,0.6718686762111131,0.8685711362047347,1.011505343783638,1.1236245541550862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053013WAL012,T05,CJF_1,CJF,1,H,HST053013WAL012,5,1.067213967031516,0.4232455566134842,0.6377178513471689,0.8089877588017924,0.9241405161728964,1.0579070692023436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053013WAL013,T05,CJF_1,CJF,1,H,HST053013WAL013,11,1.53865466576402,0.464427089268957,0.6765212424362919,0.828364083623817,0.938558343383481,1.0430887590519522,1.143981653535642,1.2418412261889389,1.3081591818295337,1.3779132588701128,1.4347284494499382,1.5164144140272906,NA,NA,NA,NA,NA,NA,NA
T053013WAL014,T05,CJF_1,CJF,1,H,HST053013WAL014,11,1.4851360600951424,0.5006043163392885,0.6922710357603219,0.8498150190232201,0.9805694490021304,1.0756044746023887,1.163306317328501,1.2208477186502023,1.275609638484783,1.3516021486291119,1.4119230314379339,1.4795770971209015,NA,NA,NA,NA,NA,NA,NA
T053013WAL015,T05,CJF_1,CJF,1,H,HST053013WAL015,9,1.2731464924350793,0.42879985408509624,0.6213215685531113,0.742896769998258,0.8748499936788391,0.9725483747052343,1.0364301329477206,1.1350049537146711,1.1873865216180604,1.2612080822257037,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053013WAL016,T05,CJF_1,CJF,1,H,HST053013WAL016,11,1.3577820589361462,0.4898192230676784,0.6453483850523489,0.7573080910877956,0.8605592119926512,0.9626474195270096,1.045418773712029,1.1158507547706873,1.179021159837809,1.2143081743092776,1.2837192898817185,1.341953945698296,NA,NA,NA,NA,NA,NA,NA
T053013WAL017,T05,CJF_1,CJF,1,H,HST053013WAL017,12,1.4063754227653313,0.4692184092667396,0.651749083214668,0.809136210886197,0.8904527972110882,0.9685064585294082,1.0380511498629055,1.1072758899376811,1.1637688812448954,1.2042671987779803,1.2578172163373469,1.299275387646598,1.377329048964918,NA,NA,NA,NA,NA,NA
T053113WAL001,T05,CJF_1,CJF,1,H,HST053113WAL001,0,0.44253022478780774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053113WAL002,T05,CJF_1,CJF,1,H,HST053113WAL002,0,0.4620042913239622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053113WAL003,T05,CJF_1,CJF,1,H,HST053113WAL003,0,0.4892030340861525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
